Comments,label
If you want to download songs then come here its amazing website giving download facility also @,1
where can i watch the Persian response in 3:21 as a full video?,1
yes catastrofic incident like a remote bomb on board activated just after takeoff that why it was on fire before it crashed RIP,1
America likes war. It is always at war with some country,1
Move the troops out of IRAQ and into IRAN,1
Iranian Ayatollah a nicer guy to work for than the BBC,1
🤷🏻‍♂️ unfortunately for what they think the USA could wipe them of the face the earth in a few hours.,1
WE NEED THE WAR !,1
Damn.,1
the end of world after war😢,1
Bomb pak,1
"What and all is happening at the beginning of 2020 ,, i prayed there should be peace all around the world ..",1
Save us army,1
"If ww3 starts, it will be the very first world war colorized on Tv.",1
Iran ki gaand fat gyi hhhhhh,1
Shia sesat,1
"Live war channel banane ke liye apil kro , ek ( American) aur Pakistan wall ke liye duwa karo ( ek Pakistani )",1
"2020 war again , why cant they just let it go well i have a vital information for you i just got a hack transfer from zealassistant,com within a hour",1
Woy gue orang Indonesia yang mampir kesini,1
THE WAR IS START LOL😭😣🤪,1
"BBC thank you for this information. Regarding Iran watch the ""Babylonian Worldwind Prophecy""..it is so accurate and we are now watching all come to pass.",1
I’ve worked for multiple government organizations and the one thing that I have learned over the years is this.... the USA is holding all of the cards....judge n jury....and the hidden agenda is to benefit American corporates ...connections to the White House ....but in short they can do what they want because they’re the biggest kid on the block. Right or wrong,1
Where did you get that thing on your shoulder from so fast ? It's me bag dad I ran.,1
"PERANG DUNIA 1 DAN 2, PERANG DINGIN SAYA SUDAH NONTON FILM DOCUMENTARY DARI MEDIA BARAT...TAPI TIDAK PERNAH DI PERANG DUNIA 1 DAN 2 TERDENGAR DAN MELIHAT NEGARA TIMUR TENGAH TERLIBAT !! ATAU SAYA YANG KURANG TAHU SELURUHNYA !!!, SETELAH MENJADI PEMENANG PERANG (USA) MEREKA BANYAK MELAKUKAN PROPAGANDA DI TIMUR TENGAH, MENUDUH INI DAN ITU !!, SEMENTARA UNI SOVIET/RUSSIA TIDAK MELAKUKAN APA YANG USA LAKUKAN !.. USA GOVERMENT SANGAT JAHAT",1
He turned into a missle 1:37,1
What in the world is happening?🤦🏻‍♂️,1
We be praying for peace from Malaysia,1
Sajad Javed first asian MP,1
Iran allies are strong and knows when to fight and how to fight if operation millennium challenge did not send an early warning to the pentagon and the war machine then they should go back to school..,1
🤧,1
"see, the thing is, we have spaceships.",1
What you doing there,1
He sounds like Iran's parents,1
Wait for the battlefield,1
killing somebody in foreign territory is an illegal act.,1
"Here's how I think it will go down (If it goes down), USA goes to war with Iran which could may very well take a lot of manpower and recourses off the Americans since Iran is more 2nd Vietnam than 2nd Gulf war. In the meanwhile, because America is distracted there's nothing stopping China from annexing Hong Kong and declaring war on Taiwan and South East Asia. In a worst case scenario Russia might also join in with a new front on Eastern Europe and Middle East. No one will come out of this Victorious, it will be a bloodbath.",1
Corbyn failing lol,1
Poland supports Iran! Great country and the Nation of honour! Hands off from Persia!,1
Adderal is trending after trumps last speech where he sniffled 58 times and slurred his speech. Thats news worthy,1
randiko baan,1
"WW3, is it even possible? 🤔",1
"Seem like payback time for Iran, for what he did to Iraq, no more backstabbing now, oops",1
"All commercial and passenger planes have transponders switched on, there’s no way it could have been shot down thinking it was military... No surface-to-surface missile would be used to take out a plane coz it has no heat seeking capability, and no country would position its missile batteries near, and fire them through, the airspace of their own airports.. FACT: The plane was delayed for 57 minutes before departure!..All pointing to a false flag, folks.",1
Why is there so much enchanted table language,1
I don't know about politics but I know that peace still exists.. so pls don't harm each other .. please live happily everyone💜💜💜💜💜💜💜🙏🙆,1
It's like a cat teasing lion,1
trumps gonna start WWIII!!,1
(´･_･`) 🙄,1
Avatar Iran vs US Terran.. 😁 ..,1
What is their true purpose and desire in their hearts ...?,1
Why America get war and earning money right??? LIKE A $$$$$$$$$$$$,1
BBC leaning over to all of the brainless left that's why I only have a sickening momentary look.,1
"AWWWWW now usa want to stop the war... LOL... Small heads, no backbone, no brain- the mighty USandA.",1
3:33 Reminds me of something this does.,1
I don’t want war. I want peace,1
CHINA:coronavirus from china can end this world... AMERICAN:WTF!!we just want to start this war,1
Sana walang war,1
Hello,1
Who’s down to start a new country? We just need a cool name.,1
"Let’s just hope we don’t get dragged into this, or else we’ll lose 🇩🇪",1
How to stop the war Send the US president to Iran... And leave other contries in peace,1
This is the sign of second coming of jesus actually.,1
Also it look likes Trump has Spina Bifida 😂😂🤣🤣,1
Shooting rubber missiles!!,1
just dont toutch ireland,1
What a great start to 2020,1
American: now this is an avengers level threat.,1
Here we go again😢,1
War,1
War is not solution so keep peace,1
Gonna take my 2 dogs out for a walk. Everything should be OK. Everything that is bad just goes away.,1
If Iran fired missiles at 'Tea factories' that would make the british very angry,1
allied forces declare war on iran,1
Dont be too comfort iran will randomly attack,1
Iran lied to its citizens there news says they killed 80 people in the rocket attack,1
"I'm reading through all these comments and I'm a little bit amazed at all the people from all over the world who just want peace. I'm American and I'm lucky enough that I'll probably be fine no matter what happens, but alot of people will probably get hurt or die. Whoever all of you are I hope you are ok. I hope whatever higher power you believe in (or if you don't) protects you. I hope that some how we can all get through this mess.",1
"both parties should think of saudi arabia, kuwait, qatar, uae ang other small countries were possibly seriously affected",1
Missiles intercepted by advanced technology,1
Go out from our country. U just taking My oil,1
First,1
Whats your feeling after what has happen..... I think it just a little bit compare to people's in Palestine..,1
"USA started this, by the way",1
No one's safe under his commands laugh now u no the rest,1
"Uk watching //this is your gift for Iran ,, Uk helped mullah to take power in Iran ,,what ever they say its lies",1
"OMG... didn't want to believe it... BBC makes my FAKE NEWS list 2:55 BCP proved she's a fake. She's been paid off, seen in other news interviews. In white normal clothes and glasses.",1
Please No to War 🙏🙏🙏,1
"Damn, she sounds serious. Like you fathered her child or something. Sheesh.",1
What can you expect from a crowd under black blankets on their knees in front of 1 man on the throne......nowadays.....,1
New challenge 2020 im gonna life the whole year with my eyes closed,1
"They put a few pockmarks in an airfield a thousand acres or so in size with 12 or so guided missiles and all the living areas not touched at all, yet they can hit a jet engine the size of a front door traveling at 400 mph. POLITICS.",1
I like being high on heroin and mixing it in all my tea while trying to conquer the world. Oh wait... thats the 10% of the rich Persians,1
Whos hyped for ww3,1
Nuclear power 15,1
Maybe iran just wanted to see the counter measures us could take and in the meantime they made clear they will uphold Iraq's decision for us troops to leave iraq why else would they warn iraq and iraq didnt even make a objection on the missile attacks? Did they,1
"""Angry Iranians"", how dare they to defend themselves?",1
My 2020 goal thing is surviving,1
don't damage it if you don't know how to fix it,1
Yawn...,1
Iran be ready,1
No more sanctions! enough is enough,1
Leaders should kill each other in a one on one combat.,1
if a wall gose up in the north i declare war,1
This iranian citizen oh common They want to die early iran would be the massive graveyard of the decade,1
tired for these news ，very tired.,1
Rocket landed in the desert no Lizard killed,1
"eto pala ang dahilan kung bakit hndi pinayagan ni press duterte na magkaron ng us base sa pilipanas . dahil pagnagkataon na may makalaban yung amerika , bobombahin ng mga kalaban nila yung mga us base",1
Throw the leaders in to a ring let them sort out their differences so that no one else gets killed innocently..i just cant believe we still allow leaders like this to exist,1
I'm afraid to fly now that the war is on smh,1
BBC grammar. Punch 👊 in the face 😀. English 🇬🇧 grammar.. Punch 👊 on the face 😀 Me. Confused 😖,1
just nuke em,1
"""All of this is happening in the EAST! Thats very strange! So I wonder if they would fire missiles if you were in your own country? I wonder if you kept your hands off the oil in all other countries, if they would attack? I just wonder this You (Almighty God will ALLOW Iran to ""Prosper"" This sounds so condescending!!! With all respect Mr Trump, but who are you to ""Allow""... I will never understand why you are there!!! If you have Oil...Then Leave...If Iran Attacks then nobody would be annoyed if they kept on troubling you and you retaliated, but I think the world is slowly realizing who the bullies are. I am a peaceful man but I always say every action breeds a reaction...Would that Military leader have attacked and killed so many people if you was not in their land dictating? Just a question!!!""",1
"Top IRGC general explains in detail the attack on US largest base via satellite maps. Main points: 1. US used 9 C-130 hercules transport to move dead and wounded to Jordan and Israel 2. Several Helicopters transported some wounded to the US operated hospital in Baghdad near US embassy 3. Most death and injured are from the command and control center hit and destroyed by the IRGC missiles 4. WE did our best not to harm any soldiers but unfortunate death of those present in the repair hangers and command buildings was unavoidable. 5. Large number of helicopters and drones were destroyed 6. Our objective was to destroy US military might and arsenal in there and to teach an unforgettable lesson. 7. We left many targets untouched for future second and third phase attack if US responded unacceptably. 8. We could if we want kill upto 4000 US forces there and we had plan to, but decided to avoid losses as much as we could. https://media.iranpress.com/video/4bv58438f916151knuf.mp4",1
"Trump,just build a wall between Iran and US lol",1
Hey Corby did you condemn Obama taking out bin laden in foreign territory and what about your mates in the ra ???,1
Punches you You punch me I gather our parents Me : “Why must we have this voilence?”,1
"The world will be much less violence only if the corporate media ""broadcast the truth"" . Western media including BBC are more or less broadcast propaganda of the Zionism or imperialism, which is the root of all problems in the middle east. Western media should revise their honesty and repent for their hypocrisy",1
"On Aug. 19, 2013, the CIA publicly admitted for the first time its involvement in the 1953 coup against Iran's elected Prime Minister Mohammad Mossadegh. Lead by senior officer Kermit Roosevelt Jr., the grandson of U.S. President Theodore Roosevelt.",1
Thank God Britainians are out of this mess,1
"Why UN council silent???think like a being human and must solve Jammu and Kashmir issue ,everything not bussiness ,be serious for human life.",1
God bles USA & IRAN🙏 Peace is good,1
Why WW3 not started yet?,1
🖕 Iran,1
Death to Iran ?,1
"Great news, this now clears the way for the Democratic Party to adopt the slogan 'Death to America'.",1
We’re about to crash iran,1
May the leaders of both country realizes that it is the innocent children being sacrificed in this war... May they humble themselves and forsees was is good for all.,1
Now now we need more space for missile..let just launch the old one we replcaes new one .,1
Why BBC is so scare about the truth ?,1
"I hope that the leaders Love for his people (children's and women) will prevail, May they stand to protect , harm no one, and let go of ego's.",1
I Don't think it's a good idea For iran to Engage a war against usa Tho The usa did just killed their commander,1
NO WAR ONLY PEACE,1
"trump only means he wasn't harmed, he has no clue wats going on n please take revenge on trump not other innocent americans that have nothing to do with trump!!",1
20 missiles. And no casualties so funny 😂 as like USAMA bin laden is killed and thrown in sea. Media couldn’t find US Lied. Lie lie lie lie nothing more,1
God have mercy. Let me help!,1
the usual quiet before the usual desert storm.,1
Children in the playground comes to mind,1
#next world war 3,1
What a starting of 2020😭😭😭,1
We should take out the supreme leader,1
"Aight,imma go move to another planet now ;-;",1
Now I then heard 10 16 and 20 missiles,1
Did he step straight out of the sun bed ?,1
Iran didnt get revenge the USA killed their general then irag shot a few missiles into the dirt pussied out,1
https://shandyjohnson.myctfo.com/opportunity.html,1
The Ukrainian airliner was a fireball when it was in the air before it came down.,1
Disarm Iran! take away all the bombs!,1
"Transparent attempt by Iranian State to ""save face"" with the people and swagger around pretending they have punished ""The Great Satan"".",1
Nerf weapons,1
Bukannya Trump sudah dimakzulkan!!,1
Dangerous person must be kick out from this world,1
"Nuke all of them, get em outta here coach",1
I love my USA 🇺🇸 people but their Government are different to the people!,1
No shame if they use a photo of him looking like the devil in media they can use a photo smilling holding his child,1
Iran nuclear power 15,1
Iran nuclear power 15,1
Ukraine = planes on fire. Aight!,1
Major terrorist orders his victim to not defence? Nice.,1
Thank you USA for proving WW3 but please deal with it yourself.,1
I not like war I like Peace Peace Peace,1
The war has beginning,1
Hope they are not going 'carpet-bombing' which they did on my Dutch and German family in WW2 🇳🇱🇳🇱🙋‍♂️🙋‍♂️🧡❤ (basterds),1
Government lie,1
"2020 new war style. Explosion = no casualty Meanwhile, by 2025 the Mexican flag will be mandatory on all US govt buildings.",1
American and British democracy = above international law. I think they think I am the law,1
premeditated murder here,1
OH NOES,1
22 missiles killed none😆This video tells us all we need to know why iran is a state sponsor of terrorism and why needs to be dealt with.All you can do is a suicide bomber on innocent civilians aint even got de cent weapons.irans latest jet so called made was parts from 50's planes😂😂😂😂,1
Stop propaganda. U r just helping the Iran in spreading the messages for Iran,1
"First when america took territory and oil they say american, when theyre in danger they say America and allies haha",1
WW3 isn’t gonna happen it will just be Iraq-Iran war 2.0,1
"First it start assasination, then threatening each other.. this could lead to war.. please don't make the war happen.. please think about our next generation.. pease think about our earth.. please stop while it can be stop..no need to breed revenge.. it just wrong.. i hope we can avoid it from happening.. I'm not siding on any side.. it just wrong for both sides..",1
Trump before Iran's attack : if Iran do anything it whould be end of Iran Trump after Iran's attack : oh no we want peace !,1
Jesus come!,1
use atom bomb,1
WERE BEGGING FOR A WORLD PEACE...JUST LOVE AND HARMONY PLEASE,1
We can't read news or watch videos from Iran in the US. We just get more propaganda from the BBC,1
80 people were dead :(,1
Why they love war ?they only make pollution on earth stop that air pollution Please,1
Iran just had their New Year fireworks show. 😉,1
STOP THE WAR AND START LOVING #PRAYFORIRAN #STOPTHEWAR,1
automic bomb vs balastic miscle who will win...??,1
"Nothing really hit, no casualties. Iran just kicking up some sand.",1
I'm trying to watch this with my cat but the sound effects kill her she is angry😾,0
I like the cute cats. I hate the sound effects though,0
Cats' hearing apparatus is built to allow the human voice to easily go in one ear and out the other.,0
I love puppies and cats but the first cat is so cute when someone baby cat or a big cats so cute I love it,0
I feel so bad for those fishes. That tank is way too small and those piece of shit owners letting the cat run amok isn't helping their stress.,0
The cat lying on the laptop's keyboard 😂 Cat: The laptop is MINE hooman 🐱,0
"Cats on my channel are so cute, too.",0
I love cats but I dont like to touch them ... I'm afraid,0
I know take 'Re sound effects off plz me loveeeeee cats,0
The sound effects ruin it,0
I hate that stupid HMM! noise they added in every clip. I only lasted until 0:56,0
These sound effects are so weird,0
3:19 Cat: Shhh I’m going to scare him/her. (Scares) (the other cat runs away XD),0
"I love cats and all, but the sound effects are annoying and cringy",0
These cats are HAIRlarious,0
so funny and cute. 😂💙,0
"Oh furball, ours is so cute as well 🐈😍",0
Dont use that effects,0
I love kitties 🐱🐱,0
WOW! Great video. Baby cats SOO cute & funny 😍🐱🤣 I love kitties 🐈😍,0
Well I think this is often my favorite posture of yours,0
I love cat very much it so cute❤️❤️❤️❤️😺😺😺😺😺,0
So cute,0
1 like=1 laugh 😂,0
Cats so cuuuuuuute 😻,0
Wow really funny)) I have cats too and video about them),0
3:50 that laugh sounded like Mickey mouse,0
They can do funniest thing I've ever seen the cat before 🐱,0
3:09 MLBB ling vs natalia 😂😂,0
Oooooooooo qué dulce😍😍😍😍❤️🐈,0
LOVE 😍😍😍😍😂😂😂😂😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣,0
2:46 😂abe lie waking flei,0
I have a cat named ceicel,0
Kucing lucu 😺😺😺😺😺😺😺😺😺,0
1:09 hahahaha,0
i love cats <3,0
very funny i like it,0
Good video ji aap ko join karte he 11 like ✌✌✌👏👏👌🌾🌾💐💐💐💐💐💐💐💐,0
This is why I have a cat and there cute,0
I still watch these lol,0
They are very cute and I love cats,0
The kitties playing,0
Check great harness vest with leash for cats and dogs www.buddyvest.com,0
So funny I watching this and I have a kitten next to me🐱😂,0
Can I reprint your video to a Chinese video site? Like Bilibili or Watermelon video？,0
😄❤️🧡💛💙💜,0
May I please add...baby cats are called kittens...,0
Con mèo với con chó dễ thương quá à,0
Saw fanny and cute,0
Salve questi video sono a dir poco entusiasmanti cari piceni a volte sono commoventi specialmente quando bevo con la ciuccia,0
"This was funny, thanks for the laughs.",0
❤❤❤❤❤,0
❤❤❤❤❤❤,0
Sometime My Cat went to my lot top | | V,0
I love you,0
3:36 cat: NO I DINT WANT TO GO TO SCHOOL!!!! XD😹,0
I love 🐱,0
Lucu amat kucing berbuat seperti itu,0
Awww so cute i love cats😍😍,0
Me be hanging out on thelamp,0
👍😄😍. So very nice ❤️❤️❤️,0
So cute!!! (>w<),0
I love baby Cats 😍🐈,0
I love cat,0
Be up ⁿ)‽0>)>08,0
"Ha , ha, ha, 🤣🤣🤣😍 so funny",0
is so funny the cat so funny hahahahahahahahahahahaha 😂😂😂😂😂😂😂😂😂😂😂,0
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0
♥♥♥♥♥♥♥♥,0
Aww,0
i love this video,0
♥♥♥♥,0
J'aime,0
Super...,0
Dogs are cool,0
Jajaja 🤣🐵,0
the was fani,0
Love and miss you now have internet access at least I can only u Y I WILL HAVE INTERNET IS YOUR DAY AND MISS YOU HAD AND MISS AND ❤️ LOOK AND I WILL ❤️ LOOK 😘😘 YOU HAD AND MISS YOU HAD AND MISS AND MISS I WILL HAVE INTERNET IS YOUR DAY AND MISS AND MISS AND HM DO YOU HAD I HAVE,0
Diese blöden Hintergrund sound hättet ihr wirklich rausnehmen können das hat übelst genervt,0
Awesome #wowmeows,0
I asked my Google Assistant to play cute cat videos,0
1:16 Cat: Mine spanks cat: HOW DARE YOU,0
WOW,0
♥♡♥♡♥♡♥,0
S0o cute,0
Good video with the exception of the repeating voice,0
So cute and funny 😊. I make videos of my little Macana 🐕,0
So cute I love,0
🤗❤😍😘,0
Haha cat iz good and love vats🥰,0
I enjoyed your video :) Keep it up! Would you like to be YouTube friends? :],0
so cute,0
so sweet!,0
very funny! like this,0
The. Cars,0
it’s so cute omg thank you for making this video so cute,0
Lovely awesome,0
Animal cruelty,0
Beluk asi hai mare cat,0
i cee,0
Dễ thương quá đê,0
😍😸,0
Gracias €y el jefe ¿,0
Omg this is soooooo cute :D,0
😂😂😂😂😂😂😂😂😂😂,0
Google recommends me to watch this..😅,0
Ian Creator,0
Cuma gw orang indo nya,0
Me too,0
Cute. Cats,0
Dễ thương quá,0
wow,0
😍😭😘,0
❤❤❤❤❤❤❤❤❤,0
anyone else having a bad day and watching these videos to cheer up?,0
👑,0
Çok sevdim,0
🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑,0
Cats are the best!,0
So cute... ❤❤❤❤,0
it s so funny,0
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0
Que chistoso jajajajajajaja,0
Oi,0
😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍🐈,0
Hahaha,0
Aww so cute,0
What a cute and jokey kitty,0
😂😂😊😂😂😂😂,0
Kkkk,0
😍😍😍😂😂😂😍😍😍,0
So nice,0
llaalsz,0
Awwwwwwwwwwww this is why I love kittens and cats,0
aw so good and nice,0
The sounds are awful,0
Wow,0
hotslut.ru 3:51,0
Cute. Cats,0
🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂😂😂😂,0
Супер!!!,0
I LIKE THIS VIDEO....,0
Bonito. O gato😘,0
Cats,0
1:05 🤣🤣😍,0
1:05 OMG! I FEEL BAD FOR IT BUT I DiED OF LAUGHTER 🤣🤣🤣🤣😂😂😂😂,0
🐕🐈🐱😽🐩,0
O.M.G it was sooooooooooooooo Cute,0
Very nice baby,0
Hahaha,0
"Must be nice being rich. I mean, I love cats too, but these homes depicted...That's some wealth worthy of being jealous of.",0
No one makes me smile more than you.,0
I'm kl,0
😐😐😐😐,0
cute 💙💛💚💙💜,0
Aww! 😁❤️🐈 Baby cats in this video so cute and funny. I love cute cat 😻,0
I ha Ire . Pataki. Botched s in Bronx. Lo loc. Loud locals. D,0
Poetic savior 29,0
wie kann man in gefährlichen Situationen weiterfilmen statt der Katze zu helfen...und diese dämliche unterlegte Lache....,0
cute kitty 😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻,0
Clever mechanic 98,0
Cute,0
Cute cats,0
"So cute, ohhh!!",0
Wow this video has fanny ...,0
Tà áo xưa theo gió vào ngăn tủ,0
"Very clever, Beby the cat",0
fish,0
Ha ha ha .....Wow ha ha ha very good ...Forget the VIRUS from China if Watching this Video....NO STRESSFUL..,0
Kapit lang muning,0
Mujhy 1 cat da dain,0
"My cat, liana, we can meet next time..... Please be healthy.....i love you and i miss you....i think i can found you but i don't think so cause you left me...",0
Diane Bosse,0
I Love bab cats Baby cat in so cute I Love baby cat1😊😊😊😊❤❤❤🥰🤣🥰🥰🥰👍😭,0
😆😆😆,0
2: 45 epic fail 😅🤣😂😂😂,0
2:24 Funny:v,0
Reeeeee,0
😂😂😂😂😂😂🐱🐱🐱🐱,0
So beautifully hai mare cat only my beautifully,0
Haha😆,0
jajajajajajaja jajajajajajaja,0
Jajajaja jajajaja 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0
🤣🤣🤣🤣🤣😂😂😂😂,0
Wow! Its so cute it made my day,0
When you don't have enough money for a dog,0
Or ya cats acha hai marga mare cat sa nai,0
So CUTE ☺☺,0
Cuttiee💋💋💋💋💋💋💋💋,0
So is cute 🐺🐱🐺🐱💗,0
Soooo cute!!!🔥🙃❤🙃🔥,0
Aww😘😘😘,0
There are so cute I really want to keep them,0
This video is funny but I really think the sound effects aren't necessary. If you make these videos without the sound effects I think you will get less dislikes.,0
Cute,0
The sounds ruined this very adorable video,0
In 3.10 they are doing like kids,0
Like you...i love cats,0
Nice,0
The nose every was annoying so I disliked it. The videos were cute but it was hard to watch with the noise he makes each video,0
Love this one too,0
Why are the sound effects so repetitive,0
Cute cats,0
Cute　cats💓💞I　subscribed　to　your　page💓💞see 　you　again💓💞Have　 a　nice　day💓💞,0
Nice,0
I love kittens and do you love kittens,0
😂😂😂😂😂😂😂😂😂♥️♥️♥️♥️♥️♥️♥️♥️😍😍😍😍😍,0
I like cats the most :>,0
Lucu 🤣🤣🤣🤣😂😂😂,0
2:43 0:58 mometo para reirse xd,0
so Cute funny cat,0
I like all of the cute cats!,0
0:21 better watch out dogs there's a cat with a gun and he or she isn't afraid to use it 😂😂😂😂😂,0
😍😍🐈🐈🐈🐕🐕,0
Aww so cute,0
So cute!,0
Niña estúpidamente deja al gato,0
The one wathing,0
U.,0
Athletic engineer 46,0
Poetic soldier 63,0
How beautiful,0
Cat,0
On 3:00 the cat was like are kidding me,0
4:30 IS THE BEST :3,0
"Good job 👍, 👋👋👋from Indonesia",0
Openminded hunter 87,0
So cutee😍,0
Sound effects were stupid.,0
Woooow..... So cute i love it i love it🐱🐱🐱🐱♥♥♥,0
It so funny 😁😁,0
Strong soldier 54,0
😻😻😻😻😻😻😻😻😻😻😻🐈🐈🐈🐈🐈🐈🐈🐈🐈🐈,0
awesome😍😍,0
First,0
"Can someone help me today my 8 month old persian cat fell from 10ft hieght would she be okay , the vetinery doctor near me only work up to evening",0
Annoying sounds effect,0
hotslut.ru 1:34,0
And they can play that's so cute I really want them so is so cute I want to keep them super much I love cat ❤❤❤😽,0
Clever teacher 77,0
Cat is very cute 😘😘😘 and very funny 😁😁😁❤️🐈❤️🐈❤️🐈❤️🐈❤️🐈❤️🐈❤️🐈❤️🐈❤️🐈❤️,0
Check out Maximus my kitty cat! Maximus The Great!,0
Aww pipy,0
